month_number,price1,price1noadj,security_id,ticker
480,0,0,73010,FTBRX
480,14.35,14.35,78219,FTCCX
480,52.26,52.26,53637,FTCHX
480,14.68,14.68,78218,FTCIX
480,19.69,19.69,70956,FTCLX
480,20.11,20.11,70955,FTCOX
480,14.61,14.61,78220,FTCRX
480,0,0,70429,FTCXX
480,1,1,70281,FTDXX
480,0,0,76046,FTEXX
480,14.49,14.49,52629,FTFEX
480,15.01,15.01,71435,FTFFX
480,0,0,60341,FTFMX
480,1,1,55036,FTFXX
480,11.89,11.89,74692,FTGAX
480,22.63,22.63,75893,FTGQX
480,11.05,11.05,76746,FTGSX
480,18.94,18.94,62807,FTGTX
480,46.77,46.77,73660,FTHCX
480,0,0,66097,FTHRX
480,8.57,8.57,56601,FTIAX
480,9.4,9.4,78922,FTIBX
480,22.88,22.88,72960,FTICX
480,9.92,9.92,78923,FTIIX
480,26.54,26.54,59654,FTISX
480,0,0,77187,FTIXX
480,0,0,72519,FTLAX
480,0,0,72520,FTLCX
480,0,0,72521,FTLRX
480,26.29,26.29,76091,FTMKX
480,15.98,15.98,56024,FTMRX
480,15.51,15.51,56023,FTMTX
480,0,0,70159,FTNCX
480,0,0,70160,FTNRX
480,0,0,70158,FTNTX
480,0,0,79307,FTNYX
480,12.88,12.88,56061,FTOIX
480,0,0,59718,FTORX
480,0,0,57421,FTOXX
480,62.7,62.7,53638,FTPIX
480,25.1,25.1,77306,FTQGX
480,11.05,11.05,76100,FTRBX
480,11.05,11.05,76101,FTRFX
480,11.05,11.05,76747,FTRGX
480,11.05,11.05,76105,FTRKX
480,114.05,114.05,74714,FTRNX
480,9.83,9.83,71154,FTRRX
480,1,1,52939,FTRXX
480,15.78,15.78,77238,FTSDX
480,0,0,74573,FTSHX
480,13.98,13.98,78847,FTTHX
480,11.7,11.7,68343,FTTMX
480,13.54,13.54,68188,FTTWX
480,0,0,70967,FTUXX
480,22.62,22.62,67128,FTVFX
480,0,0,65272,FTXXX
480,0,0,74258,FTYXX
480,0,0,62000,FTZXX
480,33.58,33.58,71122,FUGAX
480,32.62,32.62,71125,FUGCX
480,34.39,34.39,71124,FUGIX
480,0,0,75919,FUGXX
480,9.15,9.15,67074,FULAX
480,9.15,9.15,67072,FULBX
480,9.15,9.15,67073,FULIX
480,23.42,23.42,68750,FUNCX
480,63.69,63.69,76097,FUNDX
480,6.07,6.07,62648,FUSAX
480,7.39,7.39,73159,FUSBX
480,7.39,7.39,73158,FUSCX
480,7.39,7.39,73157,FUSGX
480,6.04,6.04,62649,FUSRX
480,1,1,70284,FUZXX
480,0,0,79376,FVACX
480,53.67,53.67,61651,FVADX
480,11.36,11.36,72576,FVAIX
480,11.01,11.01,75762,FVALX
480,0,0,79375,FVATX
480,0,0,65682,FVAXX
480,28.03,28.03,75726,FVCSX
480,30.12,30.12,77530,FVDFX
480,50.07,50.07,61652,FVFRX
480,1.84,1.84,57216,FVHIX
480,23.05,23.05,67129,FVIFX
480,19.18,19.18,62714,FVLAX
480,18.71,18.71,62715,FVLCX
480,19.29,19.29,62717,FVLIX
480,19.28,19.28,62716,FVLTX
480,0,0,65680,FVSXX
480,0,0,68497,FWIAX
480,0,0,68498,FWICX
480,0,0,68499,FWIRX
480,10.99,10.99,61981,FWRLX
480,27.34,27.34,77045,FWWFX
480,10.19,10.19,71619,FXCTX
480,0,0,77257,FXICX
480,0,0,54355,FXIMX
480,0,0,54922,FXIRX
480,11.59,11.59,78593,FXNCX
480,34.41,34.41,61510,FYAIX
480,33.9,33.9,61509,FYASX
480,0,0,57423,FYAXX
480,0,0,66629,FYMNX
480,0,0,77188,FYSXX
480,0,0,76202,FZIAX
480,0,0,76203,FZICX
480,0,0,76204,FZIIX
480,0,0,76205,FZITX
480,59.13,59.13,73586,GABAX
480,16.9,16.9,72594,GABBX
480,10.46,10.46,77222,GABCX
480,14.07,14.07,70398,GABEX
480,70.73,70.73,69402,GABGX
480,13.44,13.44,69553,GABOX
480,46.37,46.37,56739,GABSX
480,20.34,20.34,60020,GABTX
480,8.66,8.66,74106,GABUX
480,14.86,14.86,55695,GABVX
480,0,0,54612,GABXX
480,21.51,21.51,69810,GACCX
480,41.81,41.81,64829,GAEGX
480,9.48,9.48,72796,GAFRX
480,25.78,25.78,69809,GAGAX
480,25.74,25.74,69808,GAGCX
480,18.67,18.67,75308,GAGEX
480,14.02,14.02,66057,GAGRX
480,9.91,9.91,72797,GAIDX
480,23.98,23.98,63823,GAIGX
480,12.44,12.44,65036,GAMCX
480,1,1,58125,GAMXX
480,12.06,12.06,68170,GANYX
480,19.87,19.87,74648,GAPAX
480,20.15,20.15,74651,GAPIX
480,18.14,18.14,71775,GAPOX
480,19.77,19.77,74650,GAPSX
480,12.97,12.97,65035,GASAX
480,27.51,27.51,57883,GASFX
480,13.13,13.13,65038,GASIX
480,12.83,12.83,65037,GASRX
480,58.47,58.47,73587,GATAX
480,53.34,53.34,73588,GATCX
480,34.53,34.53,68446,GATEX
480,8.82,8.82,74107,GAUAX
480,5.58,5.58,74108,GAUCX
480,19.14,19.14,74649,GAXCX
480,20.66,20.66,58573,GBATX
480,16.86,16.86,72595,GBCAX
480,15.09,15.09,72596,GBCCX
480,0,0,73197,GBDCX
480,0,0,73198,GBDRX
480,20.08,20.08,64473,GBEMX
480,17.52,17.52,74337,GBFAX
480,0,0,64814,GBIAX
480,0,0,64816,GBICX
480,27.16,27.16,78142,GBMFX
480,0,0,79052,GBMXX
480,25.87,25.87,74830,GBTFX
480,0,0,64815,GBXIX
480,13.94,13.94,70399,GCAEX
480,46.33,46.33,56740,GCASX
480,0,0,56345,GCAXX
480,10.66,10.66,71845,GCBAX
480,30.02,30.02,65985,GCBLX
480,9.72,9.72,70400,GCCEX
480,38.73,38.73,56741,GCCSX
480,48.78,48.78,55798,GCEQX
480,0,0,73604,GCFCX
480,0,0,73603,GCFIX
480,10.3,10.3,79349,GCFRX
480,0,0,65684,GCFXX
480,18.84,18.84,72239,GCGAX
480,14.86,14.86,72240,GCGCX
480,33.98,33.98,59999,GCGIX
480,6.5,6.5,76856,GCGRX
480,0,0,73493,GCGXX
480,12.67,12.67,57394,GCIAX
480,12.33,12.33,57395,GCICX
480,20.78,20.78,63824,GCIGX
480,13.05,13.05,57396,GCIIX
480,12.78,12.78,57397,GCISX
480,0,0,77192,GCIXX
480,0,0,62778,GCKXX
480,22.02,22.02,74523,GCLSX
480,34.25,34.25,65403,GCMAX
480,29.71,29.71,65404,GCMCX
480,13.18,13.18,66015,GCOZX
480,0,0,69397,GCPXX
480,20.33,20.33,72241,GCRIX
480,26.55,26.55,65812,GCSAX
480,22.52,22.52,65813,GCSCX
480,27.73,27.73,65814,GCSIX
480,14.51,14.51,64341,GCSLX
480,26.08,26.08,65815,GCSSX
480,25.05,25.05,73502,GCTAX
480,23.58,23.58,73503,GCTCX
480,25.73,25.73,73504,GCTIX
480,25.19,25.19,73505,GCTSX
480,0,0,57426,GCTXX
480,21.93,21.93,74524,GCVAX
